"","lieux","longitude","latitude","Titre","poissons_liste","img_tags","fish_urls"
"31","Lucky Bay, Western Australia",122.2356088,-33.993213,"Lucky Bay Land Based Tailor ","<li> Tailor Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a>"
"32","Mackerel Islands, Western Australia",115.0222393,-21.4601773,"Series 6 Ep 4 Mackerel Islands Sailfish<br>Series 6 Ep 4 mackerel islands Giant Trevally's<br>Mackerel Islands Spanish Macherel Fishing WA Series 1 Ep 4<br>mackerel islands roslyn kaye , Queen Fish Fishing Western Australia Series 10 Episode 1<br>Best of Fishing WA Episode 8 Preview - Mackerel Islands Giant Trevally","<li> Sailfish Fish </li><li> Giant Trevally Fish </li><li> Spanish Mackerel Fish </li><li> Queen Fish </li><li>  Trevally Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/154 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/97 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/15 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/164 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/179 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/154 '> http://rules.fish.wa.gov.au/Species/Index/154 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/97 '> http://rules.fish.wa.gov.au/Species/Index/97 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/15 '> http://rules.fish.wa.gov.au/Species/Index/15 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/164 '> http://rules.fish.wa.gov.au/Species/Index/164 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/179 '> http://rules.fish.wa.gov.au/Species/Index/179 </a>"
"33","Mandurah, Western Australia",115.7424077,-32.5361038,"Mandurah Dhufish going off <br>Steve heads out of mandurah to get into Dhufish<br>Mandurah Crabbing How to Fishing Western Australia Series 14 Ep 14 Full Show<br>Mandurah Estuary Whiting on Stick baits<br>Ryan shows how easy it is to catch whiting in the Mandurah Estuary<br>From the Fishing WA Archives Episode 1","<li> Dhufish Fish </li><li> Crab Fish </li><li> Whiting Fish </li><li> Tailor Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/14 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/46 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/24 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/14 '> http://rules.fish.wa.gov.au/Species/Index/14 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/46 '> http://rules.fish.wa.gov.au/Species/Index/46 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/24 '> http://rules.fish.wa.gov.au/Species/Index/24 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a>"
"34","Margaret River, Western Australia",115.0629667,-33.9535468,"Series 6 Ep 1 Part 2 Margaret River Whiting","<li> Whiting Fish </li><li>  Mangrove Jack Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/24 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/122 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/24 '> http://rules.fish.wa.gov.au/Species/Index/24 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/122 '> http://rules.fish.wa.gov.au/Species/Index/122 </a>"
"35","Maylands, Western Australia",115.8948862,-31.9336817,"Maylands Bream fishing ","<li> Bream Black Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/45 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/180 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/45 '> http://rules.fish.wa.gov.au/Species/Index/45 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/180 '> http://rules.fish.wa.gov.au/Species/Index/180 </a>"
"36","Mindarie Perth, Western Australia",115.7058228,-31.6897613,"Perth Dhufish and Pink Snapper on Jigs Fishing Western Australia Series 14 Ep15","<li> Dhufish Fish </li><li>  Pink Snapper Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/13 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/14 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/13 '> http://rules.fish.wa.gov.au/Species/Index/13 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/14 '> http://rules.fish.wa.gov.au/Species/Index/14 </a>"
"37","Mindarie, Western Australia",115.7058228,-31.6897613,"Mindarie Samson Fish <br>Ryan takes Steve out from Mindarie to catch Samson Fish of Fly","<li> Samson Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/67 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/67 '> http://rules.fish.wa.gov.au/Species/Index/67 </a>"
"38","Minden Reefs, Western Australia",115.725,-32.07083,"Perth Reef Tailor Fishing Series 4 Ep 10 Part 1","<li> Tailor Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a>"
"39","Monkey Mia Shark Bay, Western Australia",113.7166535,-25.7953126,"Monkey Mia Shark Bay Pink Snapper Fishing Western Australia Series 2 Ep 11 Part 2<br>Shark Bay Monkey Mia Tailor Fishing Western Australia Series 2 Ep 2 Full Show","<li> Pink Snapper Fish </li><li> Tailor Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/13 ' width='200'><br><img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/13 '> http://rules.fish.wa.gov.au/Species/Index/13 </a><br><a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a>"
"40","Moore River, Western Australia",115.6781261,-31.106771,"Series 5 Ep 9 Part 1 South of Moore River Tailor","<li> Tailor Fish </li>","<img src=' http://rules.fish.wa.gov.au/species/image/20 ' width='200'>","<a href=' http://rules.fish.wa.gov.au/Species/Index/20 '> http://rules.fish.wa.gov.au/Species/Index/20 </a>"
